Query,shape_name,Qty,Qty.UOM,material_type,production_process,cold_finishing_process,heat_treated_condition,surface_condition,surface_finish,end_type,edge_type,standard_designation,quality_designation,d_grade,uom_system,d_size,d_height,rebar_size_designation,cross_sectional_area,structural_size_designation,d_depth,flange_thickness,web_thickness,d_sidea,d_sideb,d_width,d_wallthickness,d_outerdiameter,d_innerdiameter,d_nominalsize,d_schedule,d_thickness,d_gauge,d_length,d_swd,d_type,weight_per_length,weight_per_surface_area,weight_per_piece,coating_type,coating_designation,coating_thickness,coating_weightt
"(4) 60  x 144 , 11ga 304 stainless steel, domestic",Sheet,4,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,60,,,,,,,11,144,,,,,,,,,
Qty (1) ¼  x 96  x 120  304SS plate,Plate,1,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,96,,,,,,.25,,120,,,,,,,,,
Qty (1) ¼  x 48  x 96  304SS plate,Plate,1,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,48,,,,,,.25,,96,,,,,,,,,
Qty (2) ½  x 8  x 144  long 304SS flat,Flat Bar,2,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,8,,,,,,.5,,144,,,,,,,,,
HRANG-.187-1.500X1.500-240.000L qty = 19 ,L-Angle,19,piece,Carbon Steel,Hot-Rolled,,,,,,,,,,,,,,,,,,,1.5,1.5,,,,,,,.187,,240,,,,,,,,,
HRTB-.125-2.000X3.000-240.000L (REC)   qty = 9,Rectangular Tube,9,piece,Carbon Steel,Hot-Rolled,,,,,,,,,,,,3.0,,,,,,,,,2.0,.125,,,,,,,240,,,,,,,,,
1 @ 48 x96 x1/4  304 plate,Plate,1,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,48.0,,,,,,0.25,,96.0,,,,,,,,,
3 @ 48 x96 x1/4  304 plate,Plate,3,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,48.0,,,,,,0.25,,96.0,,,,,,,,,
1pc 1 ¾ HR 1045 Round x 20’ R/L,Round Bar,1,piece,Carbon Steel,Hot-Rolled,,,,,,,,,1045,,1.75,,,,,,,,,,,,,,,,,,240,,,,,,,,,
All Aluminum Grade - 6061-T6511 12’2.0 SQ = 2 PCS,Square Bar,2,piece,Aluminum,,,T6511,,,,,,,6061,,2.0,,,,,,,,,,,,,,,,,,144.0,,,,,,,,,
All Aluminum Grade - 6061-T6511 12’1.5 X 2 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,,,T6511,,,,,,,6061,,,,,,,,,,,,2.0,,,,,,1.5,,144.0,,,,,,,,,
All Aluminum Grade - 6061-T6511 12’.75 X 3 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,,,T6511,,,,,,,6061,,,,,,,,,,,,3.0,,,,,,0.75,,144.0,,,,,,,,,
All Aluminum Grade - 6061-T6511 12’.50 X 6 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,,,T6511,,,,,,,6061,,,,,,,,,,,,6.0,,,,,,0.5,,144.0,,,,,,,,,
All Aluminum Grade - 6061-T6511 12’.50 X 3 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,,,T6511,,,,,,,6061,,,,,,,,,,,,3.0,,,,,,0.5,,144.0,,,,,,,,,
All Aluminum Grade - 6061-T6511 12’.50 X 2 FLAT = 2 PCS,Flat Bar,2,piece,Aluminum,,,T6511,,,,,,,6061,,,,,,,,,,,,2.0,,,,,,0.5,,144.0,,,,,,,,,
1 DOMTU2X1/4 160007087 Carbon Round Tube 1026 DOM 2 1060 FT FT,Round Tube,1060,feet,Carbon Steel,Drawn Over Mandrel,,,,,,,,,1026,,,,,,,,,,,,,.25,2.0,,,,,,1060,,,,,,,,,
"ES-MA-202-2/4 Rev: D Rnd, 4130, Rc-18-22, 6A, 75K, Temp K, 20.2000” Need 2 pcs cut at 10.75” Long Each",Round Bar,2,piece,Alloy Steel,,,,,,,,,,4130,,20.2,,,,,,,,,,,,,,,,,,10.75,,,,,,,,,
15 @ 20 Ga. #4 stainless 48” x 120”,Sheet,15,piece,Stainless Steel,,,,,No 4,,,,,,,,,,,,,,,,,48,,,,,,,20,120,,,,,,,,,
HG011725 5052H32SH.090\ X60\ X120\ (WITH LASERVINYL FILM) - 62.85 LB 2pcs,Sheet,2,piece,Aluminum,,,H32,,,,,,,5052,,,,,,,,,,,,60,,,,,,.090,,120,,,,,62.85,LASER VINYL,,,
HG008568 5052H32SH.190\ X60\ X120\ (PPRINTERLEAVED) - 132.7 LB 4pcs,Sheet,4,piece,Aluminum,,,H32,,,,,,,5052,,,,,,,,,,,,60,,,,,,.190,,120,,,,,132.7,PAPER INTERLEAVED,,,
HG008645 6061T6SH.125\ X60\ X120\ (PPRINTERLEAVED) - 88.2 LB 4pcs,Sheet,4,piece,Aluminum,,,T6,,,,,,,6061,,,,,,,,,,,,60,,,,,,.125,,120,,,,,88.2,PAPER INTERLEAVED,,,
210PCS 1215 CF ROUND 7/16” X 12’,Round Bar,210,piece,Carbon Steel,,Cold Finished,,,,,,,,1215,,.4375,,,,,,,,,,,,,,,,,,144,,,,,,,,,
(70) 7/8  (0.875) RD C12L14 12',Round Bar,70,piece,Carbon Steel,,,,,,,,,,C12L14,,.875,,,,,,,,,,,,,,,,,,144,,,,,,,,,
10 sheets of 12ga x 48 x 96 HRPO STEEL SHEET,Sheet,10,piece,Carbon Steel,Hot-Rolled,,,Pickled Oiled,,,,,,,,,,,,,,,,,,48,,,,,,,12,96,,,,,,,,,
10 sheets of 13ga x 48 x 96 HRPO STEEL SHEET,Sheet,10,piece,Carbon Steel,Hot-Rolled,,,Pickled Oiled,,,,,,,,,,,,,,,,,,48,,,,,,,13,96,,,,,,,,,
5 sheets of .050  x 48  x 12' 3003-H14 Alum sheets,Sheet,5,piece,Aluminum,,,H14,,,,,,,3003,,,,,,,,,,,,48,,,,,,0.5,,144,,,,,,,,,
1 QTY 2.25’’ A36 96x240,Sheet,1,piece,Carbon Steel,,,,,,,,A36/A36M-19,,,,,,,,,,,,,,96,,,,,,2.25,,240,,,,,,,,,
1 QTY 1’’ A36 96x240,Sheet,1,piece,Carbon Steel,,,,,,,,A36/A36M-19,,,,,,,,,,,,,,96,,,,,,1,,240,,,,,,,,,
2 QTY .75’’ A572gr50 96x240,Sheet,2,piece,Carbon Steel,,,,,,,,A572/A572M-18,,GRADE 50,,,,,,,,,,,,96,,,,,,.75,,240,,,,,,,,,
10ga 316 (60 x120 ) - 2,Sheet,2,piece,Stainless Steel,,,,,,,,,,316,,,,,,,,,,,,60,,,,,,,10,120,,,,,,,,,
½” x 8’-0 x 20’-0 SA516 Gr 70 One plate,Plate,1,piece,Carbon Steel,,,,,,,,SA516,,Grade 70,,,,,,,,,,,,96,,,,,,.5,,240,,,,,,,,,
1pc 6 HR 4140 Q&T Round x 29’’,Round Bar,1,piece,Alloy Steel,Hot-Rolled,,Quenched Tempered,,,,,,,4140,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,
16ea 18 ga. x 36  x 96  (304 stainless),Sheet,16,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,36,,,,,,,18,96,,,,,,,,,
4ea 18 ga. x 48  x 120  (304 stainless),Sheet,4,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,48,,,,,,,18,120,,,,,,,,,
"Alum Angle 6 X 4.5 X ¾ or closest, one piece.",L-Angle,1,pice,Aluminum,,,,,,,,,,,,,,,,,,,,6,4.5,,,,,,,.75,,?,,,,,,,,,
40 pcs cr sht 24ga 1008 x 48 x 96”,Sheet,40,piece,Carbon Steel,Cold-Rolled,,,,,,,,,1008,,,,,,,,,,,,48,,,,,,,24,96,,,,,,,,,
"1 EA. - 3/8  X 3  FLAT BAR @ 12'-0  LONG, TYPE 304 / 304L STAINLESS STEEL.",Flat Bar,1,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,3.0,,,,,,.375,,144.0,,,,,,,,,
"10 EA. - 1/4  X 6  FLAT BAR @ 12'-0  LONG, TYPE 304 / 304L STAINLESS STEEL.",Flat Bar,10,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,6.0,,,,,,.25,,144.0,,,,,,,,,
"10 EA. - 9  X 40  X 1/4 , TYPE 304 / 304L STAINLESS STEEL.",Sheet,10,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,9,,,,,,.25,,40,,,,,,,,,
1 3/8'' RD SS174-4 H1150 50/100 BARS 12 FT EA,Round Bar,50,piece,Stainless Steel,,,H1150,,,,,,,17-4,,1.375,,,,,,,,,,,,,,,,,,144,,,,,,,,,
16 ga galvannealed x 48 x 120 – 30 sheets.,Sheet,30,piece,Carbon Steel,,,,Galvannealed,,,,,,,,,,,,,,,,,,48,,,,,,,16,120,,,,,,,,,
"(50) sheets of 4’ x 10’, 3/16” stainless steel plate, type 304",Plate,50,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,48,,,,,,.1875,,120,,,,,,,,,
1 stick T316 ¼” x 2” x 2” x 20’ angle,L-Angle,1,piece,Stainless Steel,,,,,,,,,,316,,,,,,,,,,2.0,2.0,,,,,,,.25,,240,,,,,,,,,
"1 pc T316 SS 3/16” x 72” plate cut @ 38-3/4”, 0/-1/8” tolerance mill edge ok",Plate,1,piece,Stainless Steel,,,,,,,Mill,,,316,,,,,,,,,,,,38.75,,,,,,.1875,,72,,,,,,,,,
1 stick T316 ¼” x 3” x 3” x 20’ angle,L-Angle,1,piece,Stainless Steel,,,,,,,,,,316,,,,,,,,,,3.0,3.0,,,,,,,.25,,240,,,,,,,,,
(4) sheets ¼” stainless steel plate (type 304) 60”x120”,Plate,4,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,60,,,,,,0.25,,120,,,,,,,,,
(3) 11 ga sheet 304SS 48 x 96,Sheet,3,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,48,,,,,,,11,96,,,,,,,,,
"Aluminum sheet,6061T651,0.25,48x96 (2sheets)",Sheet,2,piece,Aluminum,,,T651,,,,,,,6061,,,,,,,,,,,,48,,,,,,0.25,,96,,,,,,,,,
.100 5052 AL X 60 X 120 QTY 1,Sheet,1,piece,Aluminum,,,,,,,,,,5052,,,,,,,,,,,,60,,,,,,.100,,120,,,,,,,,,
.190 5052 AL X 60 X 120 QTY 1,Sheet,1,piece,Aluminum,,,,,,,,,,5052,,,,,,,,,,,,60,,,,,,.190,,120,,,,,,,,,
.09 5052 AL X 60 X 120 QTY 1,Sheet,1,piece,Aluminum,,,,,,,,,,5052,,,,,,,,,,,,60,,,,,,.09,,120,,,,,,,,,
30k lbs of 1.625 RD Aluminum 6061,Round Bar,30000,lb,Aluminum,,,,,,,,,,6061,,1.625,,,,,,,,,,,,,,,,,,?,,,,,,,,,
"MATL: 1.00  DIA X 12FT 17-4 COND  A  ASTM A 564 OR AMS 5643, DOMESTIC 38 bars",Round Bar,38,piece,Stainless Steel,,,Condition A,,,,,A564/A564M-19a,,17-4,,1.0,,,,,,,,,,,,,,,,,,144,,,,,,,,,
30) 3/16 round SS rods,Round Bar,30,piece,Stainless Steel,,,,,,,,,,,,.1875,,,,,,,,,,,,,,,,,,?,,,,,,,,,
10) 1/2  x 1 3/4  304SS true bar,Flat Bar,10,piece,Stainless Steel,,,,,,,Rolled Edge,,,304,,,,,,,,,,,,1.75,,,,,,.5,,?,,,,,,,,,
Qty 50 12ft 3\8x 1in flat bar 304ss,Flat Bar,50,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,1,,,,,,.375,,144,,,,,,,,,
2 x 2 x 1/8 wall Sq tube 304ss Qty 30,Square Tube,30,piece,Stainless Steel,,,,,,,,,,304,,,2,,,,,,,,,2,.125,,,,,,,?,,,,,,,,,
4 PCS – 0.188” 5052 4 x 8,Sheet,4,piece,Aluminum,,,,,,,,,,5052,,,,,,,,,,,,48,,,,,,.188,,96,,,,,,,,,
"1 PC - Square Tubing, Aluminum, Round Corners - 4'' x 4'' x .25'' Wall – 20’ Long",Square Tube,1, piece,Aluminum,,,,,,,,,,,,,4,,,,,,,,,4,.25,,,,,,,240,,,,,,,,,
"1 PC - Pipe, Aluminum, 1.00'' Nominal, Schedule 40, 1.315'' Outside Dia., 0.133'' Wall Thickness – 20’ Long",Pipe,1,piece,Aluminum,,,,,,,,,,,,,,,,,,,,,,,0.133,1.315,,1.0,40,,,240,,,,,,,,,
15 pcs 16ga cr sht 1008 4 x 10,Sheet,15,piece,Carbon Steel,Cold-Rolled,,,,,,,,,1008,,,,,,,,,,,,48,,,,,,,16,120,,,,,,,,,
15 pcs 20ga cr sht 1008 4 x 10,Sheet,15,piece,Carbon Steel,Cold-Rolled,,,,,,,,,1008,,,,,,,,,,,,48,,,,,,,20,120,,,,,,,,,
3000lbs 48x96” 1/8” Aluminum 5052,Sheet,3000,lb,Aluminum,,,,,,,,,,5052,,,,,,,,,,,,48,,,,,,.125,,96,,,,,,,,,
3000lbs 48x83.5” 16ga galvanized,Sheet,3000,lb,Carbon Steel,,,,Galvanized,,,,,,,,,,,,,,,,,,48,,,,,,,16,83.5,,,,,,,,,
2000lbs 48x91” 18ga galvanized,Sheet,2000,lb,Carbon Steel,,,,Galvanized,,,,,,,,,,,,,,,,,,48,,,,,,,18,91,,,,,,,,,
6061 round tube 2pc 2 OD x .250  x 12',Round Tube,2,piece,Aluminum,,,,,,,,,,6061,,,,,,,,,,,,,.25,2,,,,,,144,,,,,,,,,
6061 round tube 1pc 2.5  OD x .250  wall x 24-36 ,Round Tube,1,piece,Aluminum,,,,,,,,,,6061,,,,,,,,,,,,,.25,2.5,,,,,,24,,,,,,,,,
"1 EA. - 3/8  X 3  FLAT BAR @ 12'-0  LONG, TYPE 304 / 304L STAINLESS STEEL.",Flat Bar,1,piece,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,3,,,,,,.375,,144,,,,,,,,,
1@ L 3x3x ¼” angle at 20’,L-Angle,1,piece,Carbon Steel,,,,,,,,,,,,,,,,L3x3x1/4,,,,3,3,,,,,,,.25,,240,,,,,,,,,
1@ L6x4x ?” angle at 20’,L-Angle,1,piece,Carbon Steel,,,,,,,,,,,,,,,,L6x4x,,,,6,4,,,,,,,?,,240,,,,,,,,,
6@ 1½” Sch40 pipe at 20’,Pipe,6,piece,Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,40,,,240,,,,,,,,,
1@ ½”x 2” flat bar at 12’,Flat Bar,1,piece,Carbon Steel,,,,,,,,,,,,,,,,,,,,,,2,,,,,,.5,,144,,,,,,,,,
5 sheets 12 GA CRS 48 X 144,Sheet,5,piece,Carbon Steel,Cold-Rolled,,,,,,,,,,,,,,,,,,,,,48,,,,,,,12,144,,,,,,,,,
10 sheets 51019 14 GA CRS 48x120,Sheet,10,piece,Carbon Steel,Cold-Rolled,,,,,,,,,1019,,,,,,,,,,,,48,,,,,,,14,120,,,,,,,,,
"Mild Steel CRS 1018 Square Bar, 1.5  x 144  - Certs Required - X2",Square Bar,2,piece,Carbon Steel,Cold-Rolled,,,,,,,,,1018,,1.5,,,,,,,,,,,,,,,,,,144,,,,,,,,,
"Stainless Steel 304 Hex Bar, 0.625  x 144  - Certs Required - X1",Hex Bar,1,piece,Stainless Steel,,,,,,,,,,304,,0.625,,,,,,,,,,,,,,,,,,144,,,,,,,,,
12 bars - 1-1/8  round 304 SS x 12',Round Bar,12,piece,Stainless Steel,,,,,,,,,,304,,1.125,,,,,,,,,,,,,,,,,,144,,,,,,,,,
Qty (4)- 4' x 8' x.125 HRS Plate,Plate,4,piece,Carbon Steel,Hot-Rolled,,,,,,,,,,,,,,,,,,,,,48,,,,,,.125,,96,,,,,,,,,
"½” x 6” CRS, 3 full lengths",Flat Bar,3,piece,Carbon Steel,Cold-Rolled,,,,,,,,,,,,,,,,,,,,,6,,,,,,.5,,?,,,,,,,,,
"¼” x 1” CRS, 2 full lengths",Flat Bar,2,piece,Carbon Steel,Cold-Rolled,,,,,,,,,,,,,,,,,,,,,1,,,,,,.25,,?,,,,,,,,,
2 pcs 60 x 120 x ¼ 316 Stainless Plate,Plate,2,piece,Stainless Steel,,,,,,,,,,316,,,,,,,,,,,,60,,,,,,.25,,120,,,,,,,,,
(1) 4  Sch 10 SS 304 Pipe 20'...,Pipe,1,piece,Stainlness Steel,,,,,,,,,,304,,,,,,,,,,,,,,,,4,10,,,240,,,,,,,,,
(1) 12  Sch 10 SS 304 Pipe 20'...,Pipe,1,piece,Stainlness Steel,,,,,,,,,,304,,,,,,,,,,,,,,,,12,10,,,240,,,,,,,,,
(1) 14  Sch 10 SS 304 Pipe 20'..,Pipe,1,piece,Stainlness Steel,,,,,,,,,,304,,,,,,,,,,,,,,,,14,10,,,240,,,,,,,,,
10 sticks of 1 x3 x1/8  AL rect tube,Rectangular Tube,10,piece,Aluminum,,,,,,,,,,,,,3,,,,,,,,,1,.125,,,,,,,?,,,,,,,,,
1@48 x96 x3/8  pickled and oiled plate,Plate,1,piece,Carbon Steel,,,,Pickled Oiled,,,,,,,,,,,,,,,,,,48,,,,,,.375,,96,,,,,,,,,
"00077RSS 0.063  X 48.00 X 96.00, 5052-H32 ALUMINUM SHEET. (6) Sheets",Sheet,6,piece,Aluminum,,,H32,,,,,,,5052,,,,,,,,,,,,48,,,,,,.063,,96,,,,,,,,,
Plat aluminium ½  x 5  x 20' 1x,Plate,1,piece,Aluminum,,,,,,,,,,,,,,,,,,,,,,5,,,,,,.5,,240,,,,,,,,,
Plat aluminium ¼  x 3-1/2  x 20' 1x,Plate,1,piece,Aluminum,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,.25,,240,,,,,,,,,
"Qty. (20) ¼” Plates 5052-H32 Aluminum, 48” x 120”.",Plate,10,piece,Aluminum,,,H32,,,,,,,5052,,,,,,,,,,,,48,,,,,,.25,,120,,,,,,,,,
1 PC – 11 Ga 316 2B SS 4’ x 10’,Sheet,1,piece,Stainless Steel,,,,,2B,,,,,316,,,,,,,,,,,,48,,,,,,,11,120,,,,,,,,,
60’ – 1’’ x 2’’(304) HSS 1/8’’wall,Rectangular Tube,60,feet,Stainless Steel,,,,,,,,,,304,,,1,,,,,,,,,2,.125,,,,,,,720,,,,,,,,,
40’ – 3/16’’ x 2’’(304) flat bar,Flat Bar,40,feet,Stainless Steel,,,,,,,,,,304,,,,,,,,,,,,2,,,,,,.1875,,480,,,,,,,,,
QTY 8 48 x 120 x 24 GA cold rolled,Sheet,8,piece,Stainless Steel,Cold-Rolled,,,,,,,,,,,,,,,,,,,,,48,,,,,,,24,120,,,,,,,,,
40 inch drop of GTM Item# RM1039 (2.375 RD 8620 CF BQ).,Round Bar,1,piece,Alloy Steel,,Cold Finished,,,,,,,,8620,,2.375,,,,,,,,,,,,,,,,,,40,,,,,,,,,
6 sheets of 1/8 stainless steel 304 checker plate 4 x 10,Plate,6,piece,Stainless Steel,,,,,TREAD,,,,,304,,,,,,,,,,,,48,,,,,,.25,,120,,,,,,,,,
316L PL1/4” 48x360 – 1pc,Plate,1,piece,Stainless Steel,,,,,,,,,,316L,,,,,,,,,,,,48,,,,,,.25,,360,,,,,,,,,
316L. PL1/4” 96x240 – 1pc,Plate,1,piece,Stainless Steel,,,,,,,,,,316L,,,,,,,,,,,,96,,,,,,.25,,240,,,,,,,,,
(5) 12 GA 1-1/2  X 4-3/4  X 12' CQ GRIP STRUT,Grip Strut , 5 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  , CQ ,  , Imperial ,  ,  ,  ,  ,  , 1.5 ,  ,  ,  ,  , 4.75 ,  ,  ,  ,  ,  ,  , 12 , 144 ,,,  ,  ,  ,  ,  ,  ,
(7) 12 GA 2 X 7 X 144 CQ GRIP STRUT,Grip Strut , 7 ,  piece ,  Carbon Steel ,  ,  ,  ,  ,  ,  ,  ,  , CQ ,  , Imperial ,  ,  ,  ,  ,  ,2,  ,  ,  ,  ,7,  ,  ,  ,  ,  ,  , 12 , 144 ,,,  ,  ,  ,  ,  ,  ,
